57100.640826000003 4.5e-05 0.03486278069 0 1 2
57100.640870000003 4.5e-05 0.03486231296 0 1 2
57100.640915000004 4.5e-05 0.03486188449 0 1 2
57100.640959999997 4.5e-05 0.03486137969 0 1 2
57100.641004999998 4.5e-05 0.03486079014 0 1 2
57100.641048999998 4.5e-05 0.03486029193 0 1 2
57100.641093999999 4.5e-05 0.03485982659 0 1 2
57100.641138999999 4.5e-05 0.03485930804 0 1 2
57100.641184 4.5e-05 0.03485885878 0 1 2
57100.641228 4.5e-05 0.03485847039 0 1 2
57100.641273000001 4.5e-05 0.03485807737 0 1 2
57100.641318000002 4.5e-05 0.03485764823 0 1 2
57100.641363000002 4.5e-05 0.03485725177 0 1 2
57100.641407000003 4.5e-05 0.03485690608 0 1 2
57100.641452000003 4.5e-05 0.03485648487 0 1 2
57100.641496999997 4.5e-05 0.03485611256 0 1 2
57100.641541999998 4.5e-05 0.03485583268 0 1 2
57100.641585999998 4.5e-05 0.03485550758 0 1 2
57100.641630999999 4.5e-05 0.03485507072 0 1 2
57100.641675999999 4.5e-05 0.03485468969 0 1 2
57100.641721 4.5e-05 0.03485441158 0 1 2
57100.641765 4.5e-05 0.03485406695 0 1 2
57100.641810000001 4.5e-05 0.03475386581 0 1 2
57100.641855000002 4.5e-05 0.03365417946 0 1 2
57100.641900000002 4.5e-05 0.03111761966 0 1 2
57100.641944000003 4.5e-05 0.02779021312 0 1 2
57100.641989000003 4.5e-05 0.02391099427 0 1 2
57100.642033999997 4.5e-05 0.01979891117 0 1 2
57100.642078999997 4.5e-05 0.01565368288 0 1 2
57100.642122999998 4.5e-05 0.01179622692 0 1 2
57100.642167999998 4.5e-05 0.008200593753 0 1 2
57100.642212999999 4.5e-05 0.005110103258 0 1 2
57100.642258 4.5e-05 0.002690063591 0 1 2
57100.642302 4.5e-05 0.001235601196 0 1 2
57100.642347000001 4.5e-05 0.0007537568997 0 1 2
57100.642392000002 4.5e-05 0.0007535518972 0 1 2
57100.642437000002 4.5e-05 0.0007533621756 0 1 2
57100.642481000003 4.5e-05 0.0007531855062 0 1 2
57100.642526000003 4.5e-05 0.0007530124878 0 1 2
57100.642570999997 4.5e-05 0.0007528466474 0 1 2
57100.642615999997 4.5e-05 0.0007526857182 0 1 2
57100.642659999998 4.5e-05 0.0007525300688 0 1 2
57100.642704999998 4.5e-05 0.0007523752126 0 1 2
57100.642749999999 4.5e-05 0.0007522314732 0 1 2
57100.642795 4.5e-05 0.0007520985943 0 1 2
57100.642839 4.5e-05 0.0007519775393 0 0 2
57100.642884000001 4.5e-05 0.0007518695181 0 1 2
57100.642929000001 4.5e-05 0.0007517742006 0 1 2
57100.642974000002 4.5e-05 0.0007516885885 0 1 2
57100.643018000002 4.5e-05 0.0007516166477 0 1 2
57100.643063000003 4.5e-05 0.0007515574359 0 1 2
57100.643107999997 4.5e-05 0.000751511671 0 1 2
57100.643152999997 4.5e-05 0.0007514734604 0 1 2
57100.643196999998 4.5e-05 0.0007514426347 0 1 2
57100.643241999998 4.5e-05 0.0007514207688 0 1 2
57100.643286999999 4.5e-05 0.0007514106445 0 1 2
57100.643332 4.5e-05 0.0007514059521 0 1 2
57100.643376 4.5e-05 0.0007514089622 0 1 2
57100.643421000001 4.5e-05 0.0007514232391 0 1 2
57100.643466000001 4.5e-05 0.0007514453819 0 1 2
57100.643511000002 4.5e-05 0.000751474638 0 1 2
57100.643555000002 4.5e-05 0.0007515130837 0 1 2
57100.643600000003 4.5e-05 0.0007515673365 0 1 2
57100.643644999996 4.5e-05 0.0007516343271 0 1 2
57100.643689999997 4.5e-05 0.0007517120387 0 0 2
57100.643733999997 4.5e-05 0.0007517980569 0 1 2
57100.643778999998 4.5e-05 0.0007519005475 0 0 2
57100.643823999999 4.5e-05 0.0007520167447 0 0 2
57100.643869 4.5e-05 0.0007521416428 0 1 2
57100.643913 4.5e-05 0.0007522762525 0 1 2
57100.643958000001 4.5e-05 0.0007524228815 0 0 2
57100.644003000001 4.5e-05 0.0007525701747 0 1 2
57100.644048000002 4.5e-05 0.0007527213883 0 1 2
57100.644092000002 4.5e-05 0.0007528750235 0 1 2
57100.644137000003 4.5e-05 0.0007530393863 0 1 2
57100.644181999996 4.5e-05 0.0007532126085 0 1 2
57100.644226999997 4.5e-05 0.0007533948198 0 1 2
57100.644270999997 4.5e-05 0.0008545015503 0 1 2
57100.644315999998 4.5e-05 0.001700395998 0 1 2
57100.644360999999 4.5e-05 0.003625180938 0 1 2
57100.644405999999 4.5e-05 0.006338402667 0 1 2
57100.64445 4.5e-05 0.0095975092 0 1 2
57100.644495 4.5e-05 0.01335114973 0 1 2
57100.644540000001 4.5e-05 0.01738236953 0 1 2
57100.644585000002 4.5e-05 0.02152544618 0 1 2
57100.644629000002 4.5e-05 0.02551918435 0 1 2
57100.644674000003 4.5e-05 0.02923964348 0 1 2
57100.644719000004 4.5e-05 0.03232582403 0 1 2
57100.644763999997 4.5e-05 0.03426226077 0 1 2
57100.644807999997 4.5e-05 0.03485569422 0 1 2
57100.644852999998 4.5e-05 0.03485612981 0 1 2
57100.644897999999 4.5e-05 0.03485649348 0 1 2
57100.644942999999 4.5e-05 0.03485686516 0 1 2
57100.644987 4.5e-05 0.03485733263 0 1 2
57100.645032 4.5e-05 0.03485778378 0 1 2
57100.645077000001 4.5e-05 0.03485814706 0 1 2
57100.645122000002 4.5e-05 0.03485849881 0 1 2
57100.645166000002 4.5e-05 0.03485893507 0 1 2
57100.645211000003 4.5e-05 0.03485937821 0 1 2
57100.645256000003 4.5e-05 0.03485979237 0 1 2
57100.645300999997 4.5e-05 0.0348602915 0 1 2
57100.645345999998 4.5e-05 0.03486076597 0 1 2
57100.645389999998 4.5e-05 0.03486120181 0 1 2
57100.645434999999 4.5e-05 0.03486167821 0 1 2
57100.645479999999 4.5e-05 0.03486219781 0 1 2
57100.645525 4.5e-05 0.03486274621 0 1 2
57100.645569 4.5e-05 0.03486327885 0 1 2
57100.645614000001 4.5e-05 0.03486387421 0 1 2
57100.645659000002 4.5e-05 0.03486449564 0 1 2
57100.645704000002 4.5e-05 0.0348650212 0 1 2
57100.645748000003 4.5e-05 0.0348654937 0 1 2
57100.645793000003 4.5e-05 0.03486604079 0 1 2
